Code,Quantity,Variant,
446356180,1000,,
45263225,1000,,
45976,1000,,
462152151,1000,,
463415699,1000,,
463654831,1000,,
476987960,1000,,
478388662,1000,,
486717694,1000,,
48701095,1000,,
488156638,1000,,
49176408,1000,,
495919404,1000,,
49730364,1000,,
498889066,1000,,
499457363,1000,,
501221048,1000,,
50317119,1000,,
50437743,1000,,
508020438,1000,,
508969046,1000,,
512594426,1000,,
51429544,1000,,
515740217,1000,,
52090482,1000,,
52153950,1000,,
52589597,1000,,
52645713,1000,,
53472528,1000,,
53935074,1000,,
54894619,1000,,
548995017,1000,,
550484339,1000,,
552962791,1000,,
555344521,1000,,
55656079,1000,,
56151116,1000,,
563273768,1000,,
56539444,1000,,
56605969,1000,,
57127807,1000,,
573714336,1000,,
574385569,1000,,
576950343,1000,,
577199494,1000,,
57953041,1000,,
58107706,1000,,
582228722,1000,,
58342458,1000,,
58402780,1000,,
58574506,1000,,
589698693,1000,,
593560841,1000,,
594915335,1000,,
598993613,1000,,
60091417,1000,,
603075187,1000,,
61026513,1000,,
610688417,1000,,
61119551,1000,,
61599346,1000,,
61852449,1000,,
62117453,1000,,
622254068,1000,,
624939169,1000,,
62542050,1000,,
62676370,1000,,
63254,1000,,
635512227,1000,,
63574,1000,,
638425324,1000,,
64471642,1000,,
64565,1000,,
64632,1000,,
64669,1000,,
650013954,1000,,
654785,1000,,
65485,1000,,
65998361,1000,,
66095819,1000,,
66138240,1000,,
664507138,1000,,
66499288,1000,,
66765700,1000,,
670999670,1000,,
672548071,1000,,
676013044,1000,,
679212102,1000,,
68042339,1000,,
68222281,1000,,
690847063,1000,,
692335847,1000,,
694658587,1000,,
70928890,1000,,
711782987,1000,,
717164462,1000,,
717234086,1000,,
719988632,1000,,
721263041,1000,,
72162258,1000,,
72406538,1000,,
724836732,1000,,
73309011,1000,,
73431749,1000,,
73597023,1000,,
74113537,1000,,
742024663,1000,,
744794606,1000,,
74611686,1000,,
749353304,1000,,
750940667,1000,,
75394723,1000,,
758777022,1000,,
75908627,1000,,
76210824,1000,,
76331158,1000,,
763328856,1000,,
76829770,1000,,
769694518,1000,,
769995664,1000,,
77075341,1000,,
772389724,1000,,
77857378,1000,,
778965,1000,,
780070389,1000,,
78142537,1000,,
785413781,1000,,
79418191,1000,,
795143631,1000,,
80036996,1000,,
801324612,1000,,
804200410,1000,,
80466012,1000,,
81433490,1000,,
833079523,1000,,
83329900,1000,,
83660040,1000,,
838872696,1000,,
842168643,1000,,
84232605,1000,,
84310039,1000,,
843810452,1000,,
845982537,1000,,
84666760,1000,,
84770927,1000,,
84942130,1000,,
849594881,1000,,
852890672,1000,,
86010812,1000,,
86174984,1000,,
874556788,1000,,
87626231,1000,,
876412155,1000,,
878584284,1000,,
88074572,1000,,
881975648,1000,,
888020015,1000,,
888200649,1000,,
888380292,1000,,
889106967,1000,,
89004799,1000,,
89038964,1000,,
893177124,1000,,
896596305,1000,,
89857152,1000,,
90172404,1000,,
90504548,1000,,
90549007,1000,,
91062721,1000,,
911412037,1000,,
91291038,1000,,
916272970,1000,,
922191577,1000,,
922570507,1000,,
928271434,1000,,
930756606,1000,,
930855679,1000,,
933733183,1000,,
93524,1000,,
94014704,1000,,
940353977,1000,,
94128870,1000,,
94451242,1000,,
945059507,1000,,
94657783,1000,,
954829411,1000,,
956242328,1000,,
96019636,1000,,
960432031,1000,,
96352,1000,,
969047964,1000,,
977246092,1000,,
980824727,1000,,
985524565,1000,,
986862739,1000,,
98819970,1000,,
992489263,1000,,
993702462,1000,,
99963261,1000,,
,,,
